房源id,纬度,经度,房源名称,物业类型,物业费,建造年代,绿化率,所属商圈,二手房房源数,租房源数,均价,租金价格中位数
943869,32.020185,117.255422,北城世纪城荣徽苑,公寓,1.28元/㎡/月,2016年,40%(高),"力高共和城,北城世纪城",49套,11套,11066,1400.0
996115,31.873198,117.45933,新城家园,公寓,暂无数据,暂无数据,暂无数据,肥东新城,1套,9套,10114,1600.0
1001418,31.819177,117.372962,绿色港湾达利庄园,别墅,1.76元/㎡/月,2011年,60%(高),"巢湖路,五里庙,周谷堆",102套,1套,14024,3500.0
782739,31.811348,117.223674,瑞城岸上玫瑰(南区),公寓,1.3元/㎡/月,2011年,35%(一般),天鹅湖,122套,47套,31053,850.0
337663,31.858792,117.175973,上堤公寓,商住楼,1.1元/㎡/月,2007年,21%(一般),"大蜀山,四季花海",120套,65套,8349,1450.0
399445,31.78133,117.207152,翡翠公馆,公寓,0.5元/㎡/月,2018年,34%(一般),"翡翠湖,大学城",13套,1套,19511,nan
399279,31.865408,117.296978,富世广场,公寓,1.26元/㎡/月,2012年,26%(一般),四牌楼,54套,5套,21040,2550.0
399344,31.821578,117.243731,天鹅湖九号,公寓,1元/㎡/月,2012年,35%(一般),"天鹅湖,荷叶地",42套,18套,20898,2500.0
434180,31.904698,117.348779,新海尚宸家园,公寓,1元/㎡/月,2013年,41%(高),新海公园,94套,12套,13508,1300.0
374012,31.854572,117.195965,御景山庄,别墅,1.68元/㎡/月,2008年,54%(高),"大铺头,大蜀山",6套,2套,24679,16500.0
338719,31.895448,117.247487,紫兰园,公寓,1.21元/㎡/月,2010年,20%(一般),四里河,36套,5套,12156,1340.0
872114,31.748858,117.309845,利港银河广场(商住楼),商住楼,暂无数据,2017年,暂无数据,"万科蓝山,寿春中学",146套,2套,10176,2200.0
943842,31.827678,117.245988,绿怡居西区,公寓,0.5元/㎡/月,暂无数据,暂无数据,"市政务办公区,荷叶地",73套,61套,18818,800.0
410532,31.859142,117.295083,安徽省粮食局机关大院,公寓,0.5元/㎡/月,1990年,暂无数据,"南熏门桥,芜湖路,大钟楼",55套,17套,26291,2000.0
337357,31.846405,117.266605,百盛苑,公寓,1.2元/㎡/月,2005年,41%(高),"西园新村,安医附院,安徽大学",14套,9套,19476,850.0
399223,31.876123,117.345997,博澳名苑,公寓,1.1元/㎡/月,2011年,33%(一般),七里站,62套,34套,12694,1450.0
399473,31.893039,117.313054,七里香榭,公寓,1元/㎡/月,2010年,30%(一般),火车站,114套,55套,15891,950.0
337361,31.850324,117.235047,广利花园(南区),公寓,0.62元/㎡/月,2006年,36%(一般),"黄山路,1912商业街,贵池路",76套,10套,20474,1775.0
337882,31.859261,117.308414,锦绣园,公寓,0.6元/㎡/月,2000年,35%(一般),"南熏门桥,芜湖路,大钟楼",41套,1套,17717,800.0
337711,31.888765,117.273007,置地栢景雅筑,公寓,1.1元/㎡/月,2006年,41%(高),"北一环,亳州路",117套,16套,20475,2200.0
338013,31.847272,117.290611,紫荆花园,公寓,0.5元/㎡/月,2000年,10%(低),"东陈岗,中铁四局",17套,3套,14315,nan
337703,31.89898,117.245007,安然绿洲花园北园,公寓,1.4元/㎡/月,2008年,32%(一般),"海棠社区,四里河",33套,暂无数据,16973,暂无数据
337848,31.878038,117.283147,罗兰德小区,公寓,0.5元/㎡/月,2000年,35%(一般),"城隍庙,杏花公园,三孝口",28套,18套,15536,500.0
337824,31.885666,117.352109,东升花园,公寓,1元/㎡/月,2000年,20%(一般),瑶海万达广场,97套,21套,10087,1300.0
399238,31.89765,117.292802,望城公馆,公寓,1.4元/㎡/月,2012年,40%(高),杏林花园,58套,30套,14130,1775.0
450010,31.808256,117.30534,望湖城桂香居日桂苑,公寓,1元/㎡/月,2008年,40%(高),"望湖城,凌大塘,高铁南站",61套,3套,18810,2800.0
374148,31.882837,117.389666,花溪龙庭,公寓,0.6元/㎡/月,2010年,44%(高),"龙岗,临泉东路",48套,3套,11801,1500.0
791767,31.801416,117.170302,文一名门御府,公寓,1.1元/㎡/月,2014年,40%(高),肥西县城,76套,21套,14889,550.0
337508,31.8693,117.387389,嘉应茗阳水岸,公寓,暂无数据,2008年,41%(高),静安新城,63套,9套,11953,500.0
829087,31.748577,117.240056,锦绣紫云花园,公寓,0.4元/㎡/月,2004年,10%(低),"经开周边,大学城",24套,10套,11618,700.0
338175,31.883219,117.312149,银屏花园,公寓,0.6元/㎡/月,2002年,20%(一般),元一时代广场,58套,14套,13172,750.0
793771,32.016935,117.248372,北城世纪城泽徽苑,公寓,1.1元/㎡/月,暂无数据,暂无数据,"力高共和城,北城世纪城",176套,25套,10892,1000.0
338003,31.838987,117.279303,科苑新村,公寓,0.6元/㎡/月,2000年,40%(高),"东陈岗,中铁四局",27套,3套,14053,1600.0
1001410,31.803092,117.208123,融创城融福园,公寓,1.4元/㎡/月,暂无数据,40%(高),"禹洲天境,港澳广场",91套,177套,19462,850.0
337563,31.770952,117.279953,南艳滨湖时光,公寓,1.3元/㎡/月,2007年,36%(一般),"海恒社区,南艳湖",157套,21套,14934,1800.0
411393,31.835414,117.322825,淝河佳苑,公寓,1元/㎡/月,2011年,暂无数据,马鞍山路,70套,1套,11913,1500.0
439379,31.910092,117.219613,海亮兰郡漫香醍,公寓,1.4元/㎡/月,2013年,40%(高),"大杨镇,四里河",132套,2套,14111,2000.0
338011,31.837437,117.285241,桐江新村,公寓,0.2元/㎡/月,2000年,25%(一般),"东陈岗,中铁四局",129套,3套,13379,1800.0
418152,31.814355,117.300387,望湖城桂香居月桂苑,公寓,1元/㎡/月,2008年,40%(高),"望湖城,凌大塘,高铁南站",31套,暂无数据,21509,暂无数据
446706,31.905458,117.247081,湖畔家园,公寓,1元/㎡/月,2005年,20%(一般),"大杨镇,四里河",54套,19套,13717,650.0
337558,31.890161,117.311908,惠园,公寓,0.8元/㎡/月,2005年,40%(高),火车站,40套,10套,11189,850.0
337633,31.79732,117.212007,佳境枫情苑,公寓,1.1元/㎡/月,2008年,40%(高),"芙蓉路,港澳广场",78套,24套,15700,850.0
399422,31.984834,117.26169,京城国际,公寓,1元/㎡/月,2013年,41%(高),力高共和城,66套,5套,12267,900.0
337680,31.854516,117.320656,中天左岸公馆,公寓,1.25元/㎡/月,2013年,28%(一般),裕丰花市,74套,27套,16703,1650.0
952689,31.860826,117.142855,长江8号,商住楼,1元/㎡/月,2018年,30%(一般),客运西站,162套,1套,8592,nan
399225,31.815437,117.21879,imore公寓,公寓,1.4元/㎡/月,2012年,36%(一般),"天鹅湖,合肥八中",140套,109套,21809,1780.0
828232,31.735851,117.190403,滨河小区,公寓,1元/㎡/月,暂无数据,暂无数据,肥西县城,8套,10套,7177,1550.0
337362,31.824286,117.24627,绿地国际花都郁金苑,公寓,1元/㎡/月,2003年,50%(高),"天鹅湖,市政务办公区",83套,44套,20137,885.0
338085,31.824115,117.249818,常青花园,公寓,暂无数据,2003年,10%(低),市政务办公区,16套,7套,16794,800.0
337717,31.886591,117.280886,上元公寓,公寓,1.1元/㎡/月,2009年,35%(一般),"财富广场,白水坝",28套,10套,15925,1900.0
829015,31.809155,117.244521,嘉和苑(北区),公寓,0.62元/㎡/月,2000年,40%(高),"天鹅湖,十五里河",29套,15套,18508,1300.0
337839,31.888605,117.310586,长春都市花园,公寓,1.1元/㎡/月,2000年,32%(一般),元一时代广场,94套,12套,12850,600.0
338481,31.862873,117.317791,蓝岸雅居,公寓,1.05元/㎡/月,2010年,35%(一般),裕丰花市,112套,5套,17365,1485.0
879966,31.842666,117.22996,维也纳森林花园(别墅),别墅,暂无数据,2005年,50%(高),"1912商业街,望江西路,黄潜望",58套,3套,27343,9900.0
338073,31.827686,117.249292,绿怡居东区,公寓,0.5元/㎡/月,2004年,31%(一般),"天鹅湖,市政务办公区",99套,52套,18340,700.0
829677,31.74502,117.321098,文一名门湖语,公寓,1.44元/㎡/月,暂无数据,40%(高),"新省府,寿春中学",44套,18套,24502,2200.0
338482,31.872707,117.386975,华顺九狮水岸,公寓,0.6元/㎡/月,2008年,40%(高),"琥珀名城,龙岗",177套,4套,12244,1600.0
407386,31.815202,117.193905,香樟花园,公寓,0.6元/㎡/月,暂无数据,暂无数据,肥西县城,1套,49套,8664,700.0
911661,31.831131,117.318663,星隆广场,公寓,1元/㎡/月,暂无数据,36%(一般),"合工大,马鞍山路,合家福",135套,68套,14021,700.0
406560,31.856536,117.200294,碧海山庄,别墅,2元/㎡/月,2000年,暂无数据,"香樟大道,大蜀山",24套,暂无数据,25402,暂无数据
410988,31.888744,117.276428,缤纷南国蝶舞居,公寓,0.8元/㎡/月,2004年,34%(一般),北一环,63套,2套,17928,4000.0
399221,31.982728,117.258514,润地星城,公寓,1.3元/㎡/月,2011年,41%(高),力高共和城,43套,7套,11403,980.0
446848,31.839606,117.304175,世纪阳光花园绿阳苑,公寓,暂无数据,2007年,40%(高),"合工大,马鞍山路,合家福",71套,17套,18680,3000.0
406597,31.822181,117.251677,湖东景园北区,公寓,1.44元/㎡/月,2013年,40%(高),天鹅湖,44套,18套,21544,980.0
338493,31.734376,117.258821,卧云新村,公寓,0.8元/㎡/月,2011年,暂无数据,南艳湖,20套,8套,10422,500.0
399294,31.846867,117.253121,建业领翔,公寓,1.25元/㎡/月,2012年,42%(高),安徽大学,55套,16套,18279,830.0
338233,31.90166,117.344803,瑶海家园,公寓,0.5元/㎡/月,2002年,40%(高),生态公园,29套,暂无数据,10365,暂无数据
337880,31.856041,117.298793,锦桂花园,公寓,0.5元/㎡/月,2000年,35%(一般),"南熏门桥,芜湖路,大钟楼",39套,暂无数据,19248,暂无数据
337689,31.883112,117.261266,云滨花园,公寓,1.1元/㎡/月,2008年,40%(高),"亳州路,财富广场",41套,10套,15820,730.0
829168,31.860862,117.233631,蓝光禹洲城,公寓,1.4元/㎡/月,2016年,35%(一般),"十里庙,长江西路,凤凰城",144套,62套,20056,720.0
1048083,31.900094,117.237577,万科森林公园睿庭,公寓,2.7元/㎡/月,2017年,暂无数据,"万科森林公园,四里河",61套,15套,26103,2800.0
780543,31.833391,117.207226,柏岭大厦,商住楼,1.5元/㎡/月,2012年,21%(一般),"香樟大道,大蜀山,科学大道",26套,63套,7753,1500.0
378121,31.910315,117.297576,北环阳光花园,公寓,0.65元/㎡/月,2011年,41%(高),双凤庐阳工业园,163套,3套,13682,nan
828624,31.814544,117.292348,凤凰文化广场,公寓,1.44元/㎡/月,暂无数据,25%(一般),"望湖城,凌大塘,高铁南站",140套,5套,17424,1550.0
338227,31.878405,117.22425,绿缘居,公寓,1.2元/㎡/月,2010年,20%(一般),"十里庙,凤凰城",34套,4套,14898,2400.0
372343,31.811653,117.322253,民康葛大店花园,公寓,0.5元/㎡/月,2007年,32%(一般),"葛大店,包河周边,包河工业园",101套,1套,12841,nan
828446,31.831771,117.253018,丁香家园三期,公寓,1.5元/㎡/月,2008年,43%(高),"黄山路,望江西路,肉联厂",103套,33套,14497,750.0
338192,31.883714,117.318534,瑞景家园,公寓,1元/㎡/月,2000年,20%(一般),火车站,38套,1套,13317,nan
399342,31.857506,117.202291,蜀湖湾小区,公寓,1.2元/㎡/月,2014年,40%(高),"绿城桂花园,大铺头",63套,10套,17587,800.0
828895,31.714543,117.319628,恒大中心(商住楼),商住楼,0.8元/㎡/月,2017年,40%(高),"环湖CBD,万达文旅城",97套,7套,16395,1800.0
479162,31.882781,117.396549,恒大城(西区),公寓,1.4元/㎡/月,2012年,46%(高),"大通路,曙光影院,恒大城",291套,22套,13050,2000.0
439073,31.97182,117.264301,恒泰悦城,公寓,1.1元/㎡/月,2011年,41%(高),阿奎利亚,115套,17套,15347,1400.0
399369,31.838369,117.275322,新鸿意瀚海星座,公寓,1.3元/㎡/月,2010年,43%(高),"东陈岗,中铁四局",103套,30套,12653,1600.0
338559,31.858566,117.29036,邮电东村,公寓,0.4元/㎡/月,1995年,15%(低),"南熏门桥,芜湖路,大钟楼",89套,4套,21025,1500.0
338713,31.833452,117.30165,珠光雅苑,公寓,1.2元/㎡/月,2009年,38%(一般),"宁国路,太宁路口,卫岗",63套,63套,14324,830.0
829360,31.927483,117.279017,荣城花园北苑,公寓,暂无数据,2013年,15%(低),菱湖公园,8套,13套,10638,nan
547026,31.810587,117.285194,淝南家园(南区),公寓,1元/㎡/月,2000年,暂无数据,"姚公庙,南门换乘中心",25套,暂无数据,14154,暂无数据
337365,31.838962,117.241808,世纪新城,公寓,0.5元/㎡/月,2003年,33%(一般),"黄山路,望江西路,肉联厂",11套,7套,15769,2800.0
829580,31.822962,117.227125,天鹅湾花园,公寓,1.15元/㎡/月,2008年,40%(高),天鹅湖,32套,7套,25119,2750.0
337615,31.872036,117.384208,华都城市花园,公寓,0.6元/㎡/月,2004年,36%(一般),"琥珀名城,龙岗",99套,5套,11711,1600.0
829682,31.865184,117.388253,文一名门学府,公寓,1.3元/㎡/月,2016年,40%(高),龙岗,48套,暂无数据,13903,暂无数据
829782,31.905092,117.220954,源水家园,公寓,1.4元/㎡/月,暂无数据,暂无数据,"大杨镇,四里河",暂无数据,3套,10112,nan
338164,31.879817,117.366852,玉兰苑,公寓,1元/㎡/月,2000年,20%(一般),静安新城,18套,暂无数据,10422,暂无数据
789597,31.782573,117.233767,丰大国际,公寓,1.2元/㎡/月,2014年,45%(高),明珠广场,43套,62套,16345,700.0
373345,31.848828,117.252995,通和易居时代,公寓,1元/㎡/月,2000年,40%(高),"国防科技大学,长江西路,贵池路",51套,6套,23492,860.0
829658,31.839082,117.310654,万振逍遥苑三期,公寓,1.2元/㎡/月,暂无数据,53%(高),"合工大,马鞍山路,合家福",93套,17套,15528,1630.0
399161,31.823373,117.271035,琥珀新天地(西苑),公寓,1.1元/㎡/月,2010年,40%(高),"东陈岗,中铁四局",44套,1套,16128,2700.0
439375,31.880319,117.385646,阳光棕榈园,公寓,0.8元/㎡/月,2011年,40%(高),龙岗,62套,2套,13151,1150.0
374164,31.893715,117.271418,昆仑花园,公寓,暂无数据,2008年,40%(高),海棠社区,42套,12套,14448,650.0
799059,31.795015,117.274429,华冶天然居,公寓,1.36元/㎡/月,2015年,40%(高),南艳湖,68套,1套,15574,nan
943858,31.71539,117.254576,临湖社区祥园,公寓,0.8元/㎡/月,2008年,36%(一般),临湖,145套,8套,10467,899.0
951300,31.259756,117.287447,凤凰城,公寓,0.6元/㎡/月,暂无数据,暂无数据,庐江城区,10套,1套,9868,760.0
828323,31.712259,117.151634,城改春景花园,公寓,1.44元/㎡/月,2017年,40%(高),肥西县城,148套,3套,12743,1500.0
337480,31.880635,117.374088,斯瑞新景苑,公寓,1.4元/㎡/月,2007年,35%(一般),瑶海万达广场,123套,1套,9929,nan
539061,31.885428,117.369057,海洲景秀世家(三期),公寓,1元/㎡/月,2007年,38%(一般),"瑶海万达广场,海洲景秀世家",223套,9套,12715,900.0
829093,31.8208,117.322717,京华世家,公寓,1.2元/㎡/月,2011年,暂无数据,"葛大店,包河周边,包河工业园",48套,暂无数据,12644,暂无数据
1046057,31.89951,117.235184,万科森林公园御庭,公寓,2.7元/㎡/月,暂无数据,40%(高),"万科森林公园,四里河",89套,27套,24866,2800.0
829266,31.785796,117.289201,美丹家园,公寓,暂无数据,2008年,35%(一般),"骆岗,包河工业园",8套,6套,11351,500.0
338524,31.868736,117.27824,省公安厅宿舍,公寓,0.2元/㎡/月,1992年,10%(低),"安庆路,三孝口",79套,暂无数据,30000,暂无数据
338010,31.832829,117.284764,曙宏新村,公寓,0.65元/㎡/月,2000年,40%(高),"东陈岗,中铁四局",46套,5套,13993,825.0
338254,31.871273,117.22,卫楼新村,公寓,0.35元/㎡/月,2000年,30%(一般),植物园,24套,5套,14117,1550.0
338356,31.896015,117.327603,瑶东北村,公寓,暂无数据,2000年,暂无数据,瑶海公园,62套,8套,11580,875.0
399319,31.982667,117.261997,北辰天都,公寓,0.5元/㎡/月,2014年,43%(高),力高共和城,33套,8套,10472,1050.0
803894,31.845726,117.296645,缤果公馆,公寓,1元/㎡/月,2016年,25%(一般),"东陈岗,宁国路",102套,63套,16444,1800.0
338014,31.84202,117.291254,绿园小区,公寓,0.5元/㎡/月,2000年,35%(一般),"东陈岗,中铁四局",46套,4套,15225,3000.0
440630,31.857831,117.204573,城市庭院,别墅,1元/㎡/月,暂无数据,38%(一般),"香樟大道,大蜀山",34套,3套,22628,666.0
337849,31.883576,117.280323,钢苑新村,公寓,0.5元/㎡/月,2003年,35%(一般),亳州路,75套,17套,13916,1300.0
799452,31.742066,117.181747,光明观澜学府,公寓,1.25元/㎡/月,2014年,43%(高),肥西县城,144套,21套,14234,1300.0
338115,31.863403,117.329392,华业苑,公寓,0.5元/㎡/月,2002年,30%(一般),"大通路,曙光影院",128套,2套,13337,nan
337609,31.857247,117.204622,徽商城市风景,公寓,1.1元/㎡/月,2008年,38%(一般),"绿城桂花园,大铺头",147套,12套,16232,2350.0
808230,31.628285,117.88775,东风小区,公寓,暂无数据,暂无数据,暂无数据,北门,25套,暂无数据,8939,暂无数据
465640,31.869987,117.286352,安北小区,公寓,暂无数据,2000年,41%(高),"安庆路,三孝口",156套,5套,21688,1150.0
337507,31.88964,117.262072,晨欣园,公寓,暂无数据,2000年,33%(一般),"亳州路,北一环",52套,9套,15294,750.0
337341,31.851769,117.226525,大溪地天籁轩,公寓,1.2元/㎡/月,2012年,58%(高),"黄山路,1912商业街,贵池路",105套,7套,23115,789.0
338531,31.842587,117.297142,青年西区,公寓,0.5元/㎡/月,2008年,20%(一般),"合工大,宁国路",11套,2套,15212,nan
337410,31.846082,117.30869,新都会联邦花园,公寓,0.8元/㎡/月,2009年,35%(一般),"合工大,马鞍山路,合家福",86套,11套,15447,2400.0
911830,31.832841,117.317719,寰宇上都大厦,公寓,1.1元/㎡/月,2009年,30%(一般),"合工大,马鞍山路,合家福",53套,15套,13281,1600.0
338213,31.941867,117.277213,荣凤苑小区,公寓,0.42元/㎡/月,2004年,40%(高),菱湖公园,31套,8套,10475,1000.0
652011,31.790093,117.199193,高速翡翠湖畔,公寓,1.28元/㎡/月,2013年,45%(高),"港澳广场,芙蓉路",43套,暂无数据,18423,暂无数据
337768,31.899476,117.275272,海棠别院(南区),公寓,1.1元/㎡/月,2009年,41%(高),海棠社区,164套,9套,14080,1800.0
796523,31.862624,117.135455,惠民新村,公寓,0.4元/㎡/月,2010年,20%(一般),"蜀西湖,客运西站",43套,13套,12684,1115.0
791545,31.887699,117.302963,蓝光时代红街,公寓,1.44元/㎡/月,2015年,30%(一般),火车站,100套,71套,14472,1675.0
808231,31.627641,117.895876,巢湖恒大帝景,公寓,1.2元/㎡/月,暂无数据,暂无数据,北门,83套,暂无数据,10756,暂无数据
337661,31.901054,117.327443,家天下(二期),公寓,1.1元/㎡/月,2011年,50%(高),"瑶海公园 ,家天下",195套,28套,16314,2550.0
338196,31.888313,117.304218,胜利小区,公寓,0.5元/㎡/月,2000年,21%(一般),火车站,10套,4套,13010,490.0
337628,31.874187,117.245998,海亚当代,公寓,1.1元/㎡/月,2010年,36%(一般),"金牛路,省农机校,青阳北路",71套,39套,16608,850.0
338049,31.819181,117.3003,望湖北苑,公寓,1元/㎡/月,2000年,40%(高),"望湖城,凌大塘,高铁南站",59套,20套,16503,1125.0
338598,31.888435,117.363804,龙腾家园,公寓,0.6元/㎡/月,2008年,20%(一般),"海洲景秀世家,瑶海万达广场",28套,12套,10693,700.0
337738,31.881784,117.436341,彩虹新城(南区),公寓,0.55元/㎡/月,2013年,40%(高),肥东新城,119套,10套,10407,1500.0
399456,31.912139,117.291072,城改美景人家,公寓,1.44元/㎡/月,2014年,41%(高),"菱湖公园,双凤庐阳工业园",98套,12套,14127,1350.0
399303,31.864142,117.173295,山水间花园,公寓,0.7元/㎡/月,2010年,40%(高),"四季花海,大蜀山",163套,16套,17475,2250.0
338286,31.755592,117.214459,方兴园,公寓,暂无数据,2005年,30%(一般),"经开周边,大学城",43套,30套,11592,700.0
337506,31.78053,117.205145,翰林雅居泊岸家园,公寓,1.16元/㎡/月,2008年,42%(高),"大学城,翡翠湖",60套,8套,19015,4500.0
399419,31.957248,117.264789,恒泰城品,公寓,1.4元/㎡/月,2013年,38%(一般),阿奎利亚,250套,39套,11756,1400.0
829013,31.899535,117.331566,家天下一期,公寓,1.3元/㎡/月,暂无数据,40%(高),"瑶海公园 ,家天下",208套,28套,15960,1300.0
399297,31.877505,117.307927,锦绣豪庭,公寓,1.2元/㎡/月,2012年,41%(高),明光路,80套,20套,15476,950.0
337739,31.906426,117.255277,中国铁建国际城旭园,公寓,1.2元/㎡/月,2010年,40%(高),中铁国际城,211套,29套,15413,1600.0
572728,31.809453,117.171019,柏堰雅苑,公寓,0.6元/㎡/月,暂无数据,暂无数据,肥西县城,3套,53套,7913,815.0
793772,32.013519,117.249098,北城世纪城瑞徽苑,公寓,1.44元/㎡/月,2014年,40%(高),"力高共和城,北城世纪城",198套,25套,11275,1000.0
828917,31.875859,117.380181,琥珀名城和园,公寓,1.2元/㎡/月,2012年,40%(高),"龙岗,琥珀名城",203套,5套,14153,1300.0
338134,31.849123,117.349419,仙居苑,公寓,0.5元/㎡/月,1996年,10%(低),合裕路,90套,5套,10209,850.0
399168,31.859039,117.206255,金濠优活城,公寓,1.2元/㎡/月,2012年,35%(一般),"科学大道,大铺头",89套,26套,17467,1550.0
338052,31.812867,117.310251,滨湖春天,公寓,1元/㎡/月,2000年,40%(高),"望湖城,凌大塘,高铁南站",80套,1套,19644,2800.0
829607,31.85955,117.23684,天玥中心,公寓,1.4元/㎡/月,1998年,30%(一般),"金牛路,长江西路,凤凰城",20套,99套,18738,850.0
337578,31.879895,117.315891,温莎杰座,公寓,1.1元/㎡/月,2008年,28%(一般),胜利路,108套,30套,11352,1540.0
337417,31.851721,117.308265,新都会国贸公寓,公寓,1元/㎡/月,2007年,35%(一般),"合工大,马鞍山路,合家福",77套,30套,16056,2500.0
338077,31.83037,117.226828,汇林阁东区,公寓,0.52元/㎡/月,2005年,33%(一般),"笔架山,市政务办公区",44套,19套,22777,700.0
337484,31.786084,117.220142,雍景台,公寓,1元/㎡/月,2005年,40%(高),中环城,52套,3套,18208,3000.0
778803,31.889447,117.464324,左岸文化村,公寓,1元/㎡/月,2007年,30%(一般),肥东新城,20套,4套,9047,850.0
802014,31.817734,117.274579,绿地铭公馆,公寓,1.8元/㎡/月,2014年,22%(一般),"姚公庙,南门换乘中心",66套,6套,20338,2500.0
951347,31.851053,117.370567,广和花园,公寓,1.2元/㎡/月,暂无数据,暂无数据,"大兴镇,保利东郡",22套,5套,13247,1500.0
374175,31.821782,117.267296,东风小区(包河),公寓,0.4元/㎡/月,2000年,35%(一般),"姚公庙,南门换乘中心",3套,暂无数据,13683,暂无数据
337716,31.871998,117.319182,南都云庭,公寓,1.05元/㎡/月,2011年,40%(高),三里街,79套,34套,12962,1450.0
781449,31.834923,117.252667,南屏家园,公寓,0.9元/㎡/月,2011年,40%(高),"黄山路,望江西路,肉联厂",60套,13套,16620,2200.0
399197,31.837293,117.199877,瑞和山水居,公寓,1元/㎡/月,2012年,35%(一般),大蜀山,87套,14套,14261,700.0
338020,31.83726,117.296536,省直家园,公寓,0.6元/㎡/月,1999年,40%(高),"宁国路,太宁路口,卫岗",71套,12套,14306,530.0
372331,31.880524,117.27329,世纪家园,公寓,0.6元/㎡/月,2001年,35%(一般),亳州路,137套,24套,16908,850.0
405378,31.834829,117.173039,蜀南庭苑(桃园社区),公寓,0.6元/㎡/月,2008年,50%(高),大蜀山,20套,14套,15302,1500.0
791198,31.883671,117.307527,合铁家园,公寓,1.1元/㎡/月,2016年,暂无数据,"三里街,明光路",7套,27套,10931,600.0
337905,31.900265,117.294493,杏林花园,公寓,0.8元/㎡/月,2000年,27%(一般),杏林花园,177套,28套,12463,610.0
1001408,31.738741,117.315155,佳源巴黎都市(四期),公寓,1.6元/㎡/月,暂无数据,42%(高),"万科蓝山,寿春中学",289套,74套,20545,950.0
376214,31.787686,117.215195,中环城国际公寓,公寓,1.28元/㎡/月,2012年,40%(高),中环城,161套,44套,19778,2050.0
828398,31.854758,117.331942,大众城市之光,公寓,1.2元/㎡/月,暂无数据,42%(高),裕丰花市,96套,6套,15889,1250.0
454319,31.84117,117.30497,世纪阳光花园红阳苑,公寓,1.2元/㎡/月,2004年,41%(高),"合工大,马鞍山路,合家福",91套,11套,18399,774.5
405220,31.593341,117.51665,高速云水湾,公寓,1.3元/㎡/月,2016年,43%(高),巢湖周边,19套,暂无数据,7823,暂无数据
828771,32.03204,117.27233,国强幸福彼岸,公寓,暂无数据,2012年,41%(高),元一高尔夫,93套,7套,9485,800.0
338094,31.892007,117.259926,四泉花园,公寓,1.2元/㎡/月,2000年,10%(低),"财富广场,北一环,亳州路",31套,暂无数据,13722,暂无数据
338005,31.847064,117.286318,送变电家园,公寓,0.5元/㎡/月,2000年,30%(一般),"东陈岗,中铁四局",112套,3套,15976,1850.0
790596,31.874869,117.443765,文一国际,公寓,1元/㎡/月,2015年,45%(高),肥东新城,98套,9套,11304,650.0
765779,31.72203,117.283613,华冶水晶公馆,公寓,1.4元/㎡/月,2014年,40%(高),"云谷路,高速时代广场",165套,14套,19044,1700.0
428449,31.74297,117.297482,金泉小区,公寓,1.05元/㎡/月,2011年,40%(高),"滨湖世纪城,滨湖假日",13套,5套,22701,999.0
337675,31.890301,117.350852,银领时代花园,公寓,1元/㎡/月,2013年,46%(高),瑶海家具城,142套,29套,13022,1550.0
337510,31.906137,117.328256,中环东方名景,公寓,0.55元/㎡/月,2006年,40%(高),"瑶海公园 ,武里山天街",142套,25套,12962,500.0
338251,31.865128,117.216618,新文采花园,公寓,1元/㎡/月,2004年,35%(一般),"植物园,科学大道",27套,13套,13452,700.0
829091,31.98917,117.261919,京冠御园华府,公寓,1元/㎡/月,2015年,40%(高),力高共和城,134套,5套,11874,1200.0
1046059,31.89856,117.232759,万科森林公园嘉庭,公寓,2.7元/㎡/月,暂无数据,40%(高),"万科森林公园,四里河",52套,23套,23759,2800.0
403898,31.86285,117.326352,万和新城广场,公寓,1.2元/㎡/月,2011年,40%(高),"和平广场,铜陵路",109套,16套,15892,1600.0
337541,31.883243,117.361906,月亮湾亲水嘉园,公寓,0.45元/㎡/月,2006年,40%(高),瑶海万达广场,72套,8套,11719,1600.0
337358,31.85153,117.253682,长江花园,公寓,0.6元/㎡/月,2002年,36%(一般),"国防科技大学,长江西路,贵池路",40套,2套,20782,1875.0
829153,31.825877,117.282302,科大花园西苑,公寓,1.35元/㎡/月,2009年,暂无数据,"东陈岗,中铁四局",71套,暂无数据,18166,暂无数据
879915,31.725293,117.162888,华地紫金府,公寓,1.14元/㎡/月,2019年,40%(高),肥西县城,95套,44套,14205,1700.0
938035,31.863887,117.364936,保利东郡律园,公寓,1.44元/㎡/月,暂无数据,38%(一般),保利东郡,313套,暂无数据,16545,暂无数据
786115,31.865429,117.367328,保利东郡仪园,公寓,1.44元/㎡/月,2012年,38%(一般),保利东郡,114套,9套,17114,1800.0
375599,31.85857,117.243854,松芝万象城,公寓,1.2元/㎡/月,2010年,31%(一般),"五里墩,长江西路,青阳北路",88套,62套,21310,1100.0
399276,31.892616,117.247709,庐阳柳林苑,公寓,1.2元/㎡/月,2016年,46%(高),"大杨镇,四里河",50套,2套,17267,1750.0
793373,31.942368,117.26802,瑞阳公馆,公寓,1.4元/㎡/月,2017年,40%(高),菱湖公园,51套,3套,13286,nan
659499,31.811151,117.228032,绿地国际花都蓝蝶苑,公寓,1.1元/㎡/月,2008年,50%(高),天鹅湖,84套,38套,33722,2050.0
337740,31.814323,117.298365,望湖城桂香居丹桂苑,公寓,1元/㎡/月,2010年,55%(高),"望湖城,凌大塘,高铁南站",55套,15套,19549,500.0
