房源id,纬度,经度,房源名称,物业类型,物业费,建造年代,绿化率,所属商圈,二手房房源数,租房源数,均价,租金价格中位数
337608,31.800938,117.214336,月半湾都市青年公寓,公寓,0.8元/㎡/月,2007年,38%(一般),"芙蓉路,港澳广场",13套,5套,15531,1400.0
337808,31.884493,117.319667,长春都市豪庭,公寓,暂无数据,2006年,20%(一般),火车站,32套,8套,10930,850.0
337948,31.865865,117.257842,长江小区,公寓,0.5元/㎡/月,2000年,30%(一般),"西园新村,安医附院,三里庵",5套,暂无数据,15086,暂无数据
619525,31.908042,117.250024,中国铁建国际城瑞园,别墅,4.8元/㎡/月,2011年,40%(高),"大杨镇,四里河",31套,暂无数据,19446,暂无数据
466840,31.614051,117.865828,丽景国际,公寓,1元/㎡/月,2011年,40%(高),北门,12套,暂无数据,11455,暂无数据
338360,31.879007,117.38934,龙湖花园,公寓,1元/㎡/月,2009年,50%(高),琥珀名城,15套,1套,11113,nan
1048084,31.740643,117.180089,金星和园,公寓,1.1元/㎡/月,暂无数据,35%(一般),肥西县城,4套,暂无数据,9740,暂无数据
828103,31.862037,117.284081,安徽省供销社生活区,公寓,0.16元/㎡/月,暂无数据,20%(一般),南门小学,141套,8套,32188,2200.0
337761,31.788999,117.198595,铂爵公馆,公寓,1元/㎡/月,2008年,41%(高),"港澳广场,芙蓉路",12套,7套,15495,790.0
338357,31.867295,117.316591,明光小区,公寓,0.6元/㎡/月,1996年,15%(低),"三里街,裕丰花市",18套,2套,12628,1300.0
338207,31.838993,117.406079,诚发水岸花园,公寓,0.6元/㎡/月,2010年,43%(高),合裕路,8套,暂无数据,10199,暂无数据
337479,31.882446,117.372764,创湘上林雅苑,公寓,0.8元/㎡/月,2006年,35%(一般),"临泉东路,海洲景秀世家",15套,暂无数据,10769,暂无数据
463929,31.876811,117.326016,汽配城小区,公寓,0.4元/㎡/月,2005年,25%(一般),三里街,16套,5套,11347,1350.0
338399,31.844573,117.293581,东陈岗安装公司大院,公寓,0.3元/㎡/月,1993年,25%(一般),"东陈岗,中铁四局",54套,4套,14303,550.0
829387,31.875518,117.35233,瑞园(东区),公寓,0.45元/㎡/月,2011年,30%(一般),七里站,3套,暂无数据,10829,暂无数据
337820,31.895355,117.311178,东明新村,公寓,0.4元/㎡/月,2003年,35%(一般),火车站,1套,1套,11812,1500.0
829405,31.808048,117.309159,山水东苑,公寓,1元/㎡/月,2010年,40%(高),"望湖城,凌大塘,高铁南站",3套,10套,20672,3700.0
338529,31.872899,117.277635,市政府第三生活区,公寓,1元/㎡/月,1998年,15%(低),"淮河路步行街,三孝口",29套,2套,20723,1800.0
338630,31.857173,117.314584,供水集团小区,公寓,暂无数据,暂无数据,20%(一般),和平广场,16套,5套,13763,1500.0
337918,31.874095,117.290069,规划局宿舍,公寓,暂无数据,2000年,40%(高),"杏花公园,三孝口",34套,1套,19637,2600.0
337408,31.831483,117.270542,国元名都花园,公寓,0.57元/㎡/月,2005年,35%(一般),"东陈岗,中铁四局",13套,12套,14691,600.0
375422,31.760399,117.21171,桃源小区,公寓,0.46元/㎡/月,2009年,40%(高),"经开周边,大学城",28套,2套,11767,1400.0
829629,31.862432,117.256579,团安村小区,公寓,0.6元/㎡/月,暂无数据,暂无数据,"五里墩,长江西路,青阳北路",19套,3套,12487,1375.0
338246,31.886151,117.331723,铜北小区,公寓,0.6元/㎡/月,2001年,41%(高),安徽大市场,6套,3套,10646,580.0
829650,31.883555,117.4514,万凯碧桂园,公寓,0.5元/㎡/月,2012年,40%(高),肥东新城,31套,2套,10638,1500.0
337396,31.880749,117.260916,万家华庭,公寓,1.2元/㎡/月,2005年,35%(一般),亳州路,10套,暂无数据,14180,暂无数据
337893,31.90264,117.218968,卫庄小区,公寓,暂无数据,2000年,35%(一般),"大杨镇,四里河",15套,1套,11898,nan
338710,31.891133,117.29014,祥源上城国际樱花苑,公寓,暂无数据,2012年,35%(一般),"蒙城路,双岗",32套,3套,10794,1000.0
808178,31.615251,117.870204,信泰国际花园,公寓,0.6元/㎡/月,2009年,35%(一般),北门,44套,暂无数据,10576,暂无数据
337586,31.990343,117.269119,金地雅苑,公寓,0.6元/㎡/月,2007年,45%(高),力高共和城,25套,暂无数据,9876,暂无数据
374401,31.868078,117.246102,颐和花园舫苑,公寓,1.2元/㎡/月,2010年,36%(一般),"金牛路,省农机校,青阳北路",14套,1套,18797,2300.0
397164,31.875701,117.351346,怡然居,公寓,1元/㎡/月,2008年,40%(高),花冲公园,13套,暂无数据,14556,暂无数据
338487,31.82526,117.297405,军干阳光公寓,公寓,0.99元/㎡/月,2006年,40%(高),"宁国路,太宁路口,卫岗",21套,4套,15694,2700.0
472151,31.85326,117.258424,立雪轩,公寓,1.1元/㎡/月,2012年,35%(一般),"轴承厂,合作化路,安徽大学",35套,3套,22527,nan
337594,31.848552,117.327069,丽水芙蓉,公寓,1元/㎡/月,2007年,41%(高),"巢湖路,马鞍山路,周谷堆",24套,3套,12871,750.0
338419,31.894835,117.277576,领域花园,公寓,1元/㎡/月,2008年,41%(高),海棠社区,45套,13套,17300,1900.0
860875,31.793108,117.333294,铂澜商务中心,商住楼,暂无数据,暂无数据,暂无数据,"葛大店,包河周边,包河工业园",22套,9套,10733,1200.0
808273,31.606642,117.896328,世纪花园,公寓,0.6元/㎡/月,暂无数据,暂无数据,北门,1套,暂无数据,9054,暂无数据
808248,31.61532,117.877994,山水华庭小区,公寓,1元/㎡/月,2014年,暂无数据,北门,99套,1套,10423,nan
879957,31.768142,117.211736,翡翠花园芳岛别墅,别墅,暂无数据,2007年,40%(高),"翡翠湖,大学城",32套,2套,20934,8000.0
943860,31.828484,117.223483,水墨兰庭(北区),公寓,1.28元/㎡/月,2010年,35%(一般),"市政务办公区,笔架山",42套,30套,27971,2300.0
943841,31.838737,117.21979,和一花园(三期),公寓,0.8元/㎡/月,暂无数据,暂无数据,"西客站,望江西路,黄潜望",34套,14套,14876,689.5
1001425,31.873949,117.383678,伟华大厦,公寓,1元/㎡/月,暂无数据,暂无数据,静安新城,12套,1套,12968,nan
943867,31.867747,117.298284,华侨广场,公寓,1.35元/㎡/月,2015年,30%(一般),"长江中路,四牌楼",8套,4套,15863,3900.0
337909,31.893661,117.295118,绿都嘉园,公寓,0.85元/㎡/月,2003年,35%(一般),杏林花园,16套,6套,13282,550.0
415175,31.88945,117.275508,缤纷南国绮霞居,公寓,0.8元/㎡/月,2006年,40%(高),北一环,27套,3套,18400,930.0
337431,31.753486,117.21606,米兰阳光花园,公寓,1元/㎡/月,2006年,36%(一般),"经开周边,大学城",27套,4套,12619,700.0
338272,31.799472,117.240173,明珠创世纪花园,公寓,0.5元/㎡/月,2004年,30%(一般),"政务周边,奥体中心",13套,暂无数据,13791,暂无数据
406588,31.840745,117.2708,明星苑,公寓,0.1元/㎡/月,2000年,10%(低),"轴承厂,合作化路,安徽大学",2套,1套,10015,1900.0
338337,31.765732,117.215794,南空花园小区,公寓,0.5元/㎡/月,2006年,25%(一般),"经开周边,大学城",28套,4套,12133,1300.0
379554,31.859962,117.295276,七中宿舍,公寓,暂无数据,1995年,30%(一般),"南熏门桥,芜湖路,大钟楼",14套,暂无数据,19584,暂无数据
338265,31.851837,117.207387,电建小区,公寓,0.4元/㎡/月,2002年,31%(一般),"香樟大道,大蜀山",18套,暂无数据,15219,暂无数据
373906,31.865671,117.235841,凤凰城家家景园(三期),公寓,1.1元/㎡/月,暂无数据,45%(高),"金牛路,省农机校,凤凰城",108套,13套,14960,2200.0
651919,31.876745,117.449713,盛世家园,公寓,0.7元/㎡/月,暂无数据,32%(一般),肥东新城,17套,5套,9261,1600.0
338259,31.856156,117.195115,蜀翠苑,公寓,1.06元/㎡/月,2003年,48%(高),"大铺头,大蜀山",15套,3套,16197,890.0
607174,31.961173,117.26687,恒泰阿奎利亚理想家,公寓,1元/㎡/月,暂无数据,27%(一般),阿奎利亚,21套,12套,11706,1350.0
338159,31.867491,117.345404,恒福花园,公寓,0.5元/㎡/月,2000年,20%(一般),"大通路,曙光影院",25套,5套,12775,1250.0
337869,31.885207,117.296409,宏图新村,公寓,0.5元/㎡/月,1998年,40%(高),"白水坝,北一环,双岗",18套,7套,11075,1325.0
829663,31.737532,117.176912,卫星社区,公寓,0.6元/㎡/月,暂无数据,暂无数据,肥西县城,7套,8套,8163,1700.0
446933,31.885836,117.283057,华润公寓,公寓,暂无数据,暂无数据,暂无数据,"北一环,财富广场",11套,8套,10750,660.0
484713,31.898191,117.288638,祥源上城国际百合苑,公寓,1.15元/㎡/月,2016年,40%(高),杏林花园,19套,6套,17996,2650.0
571481,31.840802,117.220394,欣塘家园,公寓,0.2元/㎡/月,2006年,10%(低),"西客站,望江西路,黄潜望",暂无数据,45套,12239,745.0
337524,31.856399,117.315863,君柳河畔,公寓,1元/㎡/月,2006年,41%(高),裕丰花市,39套,暂无数据,14195,暂无数据
379957,32.035512,117.271929,元一双凤湖高尔夫度假别墅,别墅,1元/㎡/月,2009年,50%(高),元一高尔夫,39套,2套,15676,nan
337968,31.857129,117.229576,岳西东村,公寓,0.6元/㎡/月,2000年,35%(一般),"国防科技大学,长江西路,贵池路",31套,8套,15451,2149.5
337546,31.887701,117.326022,合肥浙商城,商住楼,0.35元/㎡/月,2007年,40%(高),火车站,44套,9套,5841,1350.0
337527,31.789518,117.230399,丽景碧雅,公寓,1元/㎡/月,2005年,45%(高),"徽园,明珠广场",6套,2套,13333,1425.0
783060,31.870273,117.3817,丽阳雅居,公寓,1.2元/㎡/月,2015年,45%(高),静安新城,5套,暂无数据,14264,暂无数据
879918,31.743691,117.179138,金星和园(三期),公寓,1.1元/㎡/月,暂无数据,35%(一般),肥西县城,2套,3套,7459,nan
925095,31.875806,117.264404,翠竹园小区(中心区),公寓,1元/㎡/月,2005年,46%(高),"琥珀山庄,清溪路,三里庵",2套,1套,16050,600.0
944468,31.851718,117.349151,阳光5米6,商住楼,1.1元/㎡/月,暂无数据,暂无数据,合裕路,128套,4套,10899,nan
1001398,31.892864,117.314848,宝文大厦,公寓,0.8元/㎡/月,暂无数据,暂无数据,火车站,3套,6套,10097,795.0
1048089,31.886703,117.315313,罗马花园西区,公寓,0.8元/㎡/月,2000年,暂无数据,火车站,54套,7套,13099,1800.0
411786,31.852293,117.276603,安医大一附院东宿舍区,公寓,暂无数据,1997年,40%(高),"西园新村,安医附院,安徽大学",13套,1套,22888,nan
337793,31.882858,117.296909,百合园,公寓,1元/㎡/月,2007年,30%(一般),"白水坝,北一环,双岗",32套,7套,12264,550.0
808217,31.615239,117.850989,滨湖景城(东区),公寓,1元/㎡/月,暂无数据,暂无数据,龟山,22套,暂无数据,9486,暂无数据
440103,31.870789,117.250776,气象苑,公寓,1.2元/㎡/月,2006年,10%(低),"金牛路,省农机校,青阳北路",4套,5套,18950,675.0
338232,31.893876,117.367067,勤居苑,公寓,0.5元/㎡/月,2006年,32%(一般),生态公园,2套,3套,10532,nan
828417,31.713245,117.184544,灯塔家园,公寓,1元/㎡/月,暂无数据,暂无数据,肥西县城,8套,1套,10481,1300.0
829374,31.81437,117.223267,瑞城岸上玫瑰小区(北区),公寓,1.85元/㎡/月,2011年,35%(一般),天鹅湖,54套,27套,32986,2500.0
337436,31.795969,117.211888,港澳花园(港澳苑),公寓,0.5元/㎡/月,2006年,42%(高),"芙蓉路,明珠广场",41套,21套,15589,800.0
580522,31.860156,117.183987,蜀景园,公寓,0.5元/㎡/月,2010年,40%(高),"大铺头,大蜀山",2套,13套,14011,725.0
338450,31.86863,117.252859,高河花园,公寓,1元/㎡/月,2000年,40%(高),"金牛路,省农机校,青阳北路",24套,暂无数据,16315,暂无数据
444954,31.870497,117.299498,海亚相府花园,公寓,0.6元/㎡/月,2000年,20%(一般),"淮河路步行街,四牌楼",49套,1套,14616,2800.0
337745,31.869902,117.236979,万联春晓翠庭,公寓,1元/㎡/月,2010年,45%(高),"金牛路,省农机校,凤凰城",37套,27套,16214,824.5
337371,31.843479,117.266554,文馨园,公寓,0.59元/㎡/月,2000年,32%(一般),"西园新村,安医附院,安徽大学",3套,2套,17288,625.0
445652,31.865838,117.259443,文园小区,公寓,0.4元/㎡/月,2000年,35%(一般),"西园新村,安医附院,三里庵",2套,暂无数据,14407,暂无数据
376544,31.77126,117.260157,乡村花园(别墅),别墅,1.1元/㎡/月,2006年,45%(高),"海恒社区,南艳湖",10套,暂无数据,25134,暂无数据
637249,31.892203,117.484232,学府花园,公寓,0.9元/㎡/月,暂无数据,暂无数据,肥东县城,6套,3套,8328,1325.0
337977,31.841272,117.268777,金湖新村,公寓,0.6元/㎡/月,2000年,30%(一般),"轴承厂,合作化路,安徽大学",19套,4套,13100,690.0
338541,31.87279,117.297984,义仓小区,公寓,0.3元/㎡/月,1991年,40%(高),"淮河路步行街,四牌楼",84套,1套,17099,nan
337922,31.865404,117.299097,雍景苑,公寓,0.6元/㎡/月,2000年,40%(高),"淮河路步行街,四牌楼",5套,1套,20979,nan
338279,31.774752,117.275977,康利园(西区),公寓,0.8元/㎡/月,2008年,45%(高),"南艳湖,海恒社区",24套,4套,13844,500.0
337390,31.90369,117.290984,丽都名邸,公寓,1元/㎡/月,2005年,40%(高),"海棠社区,杏林花园",43套,40套,10931,730.0
338283,31.768895,117.236746,莲花新村,公寓,暂无数据,2000年,31%(一般),莲花路,2套,4套,10278,600.0
337832,31.886587,117.304489,中兴花园,公寓,暂无数据,2000年,20%(一般),火车站,17套,2套,11140,1300.0
508721,31.893424,117.354713,林语人家,公寓,0.5元/㎡/月,2006年,38%(一般),生态公园,37套,2套,12377,nan
879889,31.848257,117.120372,永和家园三期(南区),公寓,0.3元/㎡/月,暂无数据,20%(一般),蜀西湖,19套,85套,12518,650.0
943825,31.617219,117.8876,天巢广场,公寓,0.75元/㎡/月,2016年,30%(一般),万达,49套,暂无数据,11340,暂无数据
399262,31.87551,117.328742,百汇城市广场,公寓,1元/㎡/月,2012年,29%(一般),铜陵路,12套,20套,12474,1300.0
337773,31.902557,117.274787,庐阳馨苑(北区),公寓,1元/㎡/月,2010年,42%(高),海棠社区,40套,2套,17140,1300.0
828217,31.889284,117.29774,北苑新村,公寓,0.5元/㎡/月,暂无数据,暂无数据,白水坝,12套,4套,11463,1100.0
828227,31.878338,117.470482,斌锋观邸,公寓,1元/㎡/月,2015年,40%(高),肥东新城,25套,2套,11914,1350.0
409785,31.826719,117.24055,绿地国际花都天香苑,公寓,1.1元/㎡/月,2005年,50%(高),"天鹅湖,市政务办公区",77套,24套,21414,2800.0
